filename,exposure,true,fixed_pred,fixed_threshold,fixed_correct,otsu_pred,otsu_threshold,otsu_correct,box_area
212800.png,backlit,green,green,127,True,green,113.0,True,902
212800.png,backlit,green,green,127,True,green,109.0,True,480
212800.png,backlit,red,off,127,False,red,62.0,True,1034
212800.png,backlit,red,green,127,False,green,103.0,False,864
212810.png,backlit,green,green,127,True,green,125.0,True,1175
212810.png,backlit,green,green,127,True,green,106.0,True,495
212810.png,backlit,red,green,127,False,green,69.0,False,1196
212810.png,backlit,red,green,127,False,green,100.0,False,1060
212866.png,backlit,green,green,127,True,green,86.0,True,4032
212866.png,backlit,red,red,127,True,red,106.0,True,3480
212866.png,backlit,green,green,127,True,green,125.0,True,1428
212866.png,backlit,red,green,127,False,green,116.0,False,3010
212866.png,backlit,off,off,127,True,green,35.0,False,705
213280.png,backlit,red,off,127,False,red,66.0,True,45
213332.png,backlit,red,red,127,True,red,83.0,True,40
213332.png,backlit,red,red,127,True,red,76.0,True,36
213360.png,low,red,red,127,True,red,90.0,True,50
213360.png,low,red,red,127,True,red,107.0,True,44
213360.png,low,red,red,127,True,red,64.0,True,45
213434.png,backlit,red,red,127,True,red,131.0,True,50
213434.png,backlit,red,yellow,127,False,red,99.0,True,27
213434.png,backlit,red,red,127,True,red,147.0,True,36
213446.png,backlit,red,red,127,True,red,83.0,True,55
213446.png,backlit,red,red,127,True,red,114.0,True,91
213446.png,backlit,red,red,127,True,red,84.0,True,60
213446.png,backlit,red,yellow,127,False,red,144.0,True,40
213454.png,backlit,red,red,127,True,red,101.0,True,48
213454.png,backlit,red,red,127,True,red,131.0,True,60
213454.png,backlit,red,red,127,True,red,99.0,True,32
213454.png,backlit,red,red,127,True,red,144.0,True,40
213584.png,backlit,red,red,127,True,red,143.0,True,120
213584.png,backlit,red,red,127,True,red,69.0,True,66
213584.png,backlit,red,red,127,True,red,125.0,True,90
213584.png,backlit,red,yellow,127,False,yellow,149.0,False,60
213670.png,backlit,red,red,127,True,red,97.0,True,171
213670.png,backlit,red,red,127,True,red,96.0,True,144
213670.png,backlit,red,red,127,True,red,137.0,True,119
213670.png,backlit,red,red,127,True,red,107.0,True,98
213670.png,backlit,red,yellow,127,False,red,74.0,True,132
213798.png,backlit,red,red,127,True,red,90.0,True,434
213798.png,backlit,red,red,127,True,red,130.0,True,435
213798.png,backlit,red,green,127,False,green,126.0,False,525
214738.png,backlit,red,red,127,True,red,101.0,True,760
214738.png,backlit,green,green,127,True,green,112.0,True,666
214738.png,backlit,off,off,127,True,off,23.0,True,2450
214738.png,backlit,green,green,127,True,green,107.0,True,512
214750.png,backlit,red,red,127,True,red,102.0,True,779
214750.png,backlit,green,green,127,True,green,127.0,True,798
214750.png,backlit,green,green,127,True,green,118.0,True,325
214750.png,backlit,off,off,127,True,off,24.0,True,2736
214776.png,backlit,red,red,127,True,red,102.0,True,987
214776.png,backlit,green,green,127,True,green,108.0,True,1128
214776.png,backlit,green,green,127,True,green,118.0,True,828
214776.png,backlit,off,off,127,True,off,23.0,True,4947
214794.png,backlit,red,red,127,True,red,87.0,True,1224
214794.png,backlit,green,green,127,True,green,118.0,True,1274
214794.png,backlit,green,green,127,True,green,119.0,True,396
214806.png,backlit,red,red,127,True,red,99.0,True,1534
214806.png,backlit,green,green,127,True,green,118.0,True,1431
214806.png,backlit,green,green,127,True,green,121.0,True,442
214840.png,backlit,red,red,127,True,red,92.0,True,2960
214840.png,backlit,green,green,127,True,green,135.0,True,2736
214840.png,backlit,green,green,127,True,green,117.0,True,893
216664.png,backlit,red,off,127,False,yellow,66.0,False,36
216684.png,backlit,red,off,127,False,green,64.0,False,40
216690.png,backlit,red,red,127,True,red,77.0,True,36
216738.png,low,red,off,127,False,red,69.0,True,40
216738.png,low,red,red,127,True,red,104.0,True,45
216744.png,low,red,red,127,True,red,110.0,True,30
216828.png,backlit,red,red,127,True,red,135.0,True,40
216828.png,backlit,green,green,127,True,green,171.0,True,30
216828.png,backlit,green,green,127,True,green,103.0,True,50
216828.png,backlit,red,green,127,False,red,96.0,True,27
216838.png,backlit,red,red,127,True,green,83.0,False,91
216838.png,backlit,red,red,127,True,red,119.0,True,75
216838.png,backlit,green,green,127,True,green,148.0,True,40
216838.png,backlit,green,off,127,False,green,71.0,True,40
216848.png,backlit,red,off,127,False,red,76.0,True,84
216848.png,backlit,green,green,127,True,green,119.0,True,32
216848.png,backlit,green,off,127,False,green,78.0,True,45
216848.png,backlit,red,off,127,False,yellow,55.0,False,40
216896.png,backlit,green,off,127,False,green,51.0,True,50
216896.png,backlit,green,green,127,True,green,88.0,True,60
216896.png,backlit,green,green,127,True,green,101.0,True,44
216896.png,backlit,red,red,127,True,red,73.0,True,50
217070.png,backlit,red,red,127,True,red,123.0,True,136
217070.png,backlit,red,red,127,True,red,132.0,True,154
217070.png,backlit,red,yellow,127,False,yellow,142.0,False,120
217070.png,backlit,red,red,127,True,yellow,136.0,False,152
217120.png,backlit,red,yellow,127,False,yellow,136.0,False,161
217120.png,backlit,red,yellow,127,False,yellow,146.0,False,170
217120.png,backlit,red,yellow,127,False,yellow,117.0,False,108
217120.png,backlit,red,yellow,127,False,yellow,138.0,False,144
217120.png,backlit,red,yellow,127,False,yellow,144.0,False,200
217120.png,backlit,off,off,127,True,green,50.0,False,96
217154.png,backlit,red,yellow,127,False,yellow,115.0,False,250
217154.png,backlit,red,green,127,False,green,126.0,False,273
217154.png,backlit,red,red,127,True,red,125.0,True,189
217154.png,backlit,red,yellow,127,False,yellow,134.0,False,75
217154.png,backlit,red,yellow,127,False,red,135.0,True,240
217154.png,backlit,off,off,127,True,off,34.0,True,147
217172.png,backlit,red,red,127,True,red,102.0,True,372
217172.png,backlit,red,red,127,True,red,138.0,True,348
217172.png,backlit,red,red,127,True,red,147.0,True,286
217172.png,backlit,red,yellow,127,False,yellow,132.0,False,260
217172.png,backlit,red,red,127,True,red,131.0,True,126
217172.png,backlit,off,off,127,True,off,31.0,True,176
217180.png,backlit,red,yellow,127,False,red,98.0,True,270
217180.png,backlit,red,red,127,True,red,128.0,True,336
217180.png,backlit,red,green,127,False,green,139.0,False,350
217180.png,backlit,red,red,127,True,red,119.0,True,140
217180.png,backlit,red,yellow,127,False,yellow,129.0,False,348
217180.png,backlit,off,off,127,True,off,29.0,True,216
217188.png,backlit,red,yellow,127,False,yellow,125.0,False,363
217188.png,backlit,red,yellow,127,False,yellow,107.0,False,390
217188.png,backlit,red,red,127,True,red,131.0,True,364
217188.png,backlit,red,yellow,127,False,yellow,110.0,False,189
217188.png,backlit,red,red,127,True,red,133.0,True,297
217188.png,backlit,off,off,127,True,off,24.0,True,240
217268.png,backlit,red,red,127,True,red,96.0,True,3280
217268.png,backlit,red,yellow,127,False,yellow,115.0,False,987
217268.png,backlit,red,green,127,False,green,124.0,False,984
217268.png,backlit,red,yellow,127,False,yellow,130.0,False,308
217268.png,backlit,off,off,127,True,off,27.0,True,570
217278.png,backlit,red,green,127,False,green,103.0,False,1100
217278.png,backlit,red,yellow,127,False,yellow,125.0,False,1125
217278.png,backlit,red,red,127,True,red,124.0,True,312
217278.png,backlit,red,red,127,True,red,59.0,True,3731
217278.png,backlit,off,off,127,True,off,25.0,True,640
217280.png,backlit,red,red,127,True,red,110.0,True,987
217280.png,backlit,red,yellow,127,False,yellow,129.0,False,1144
217280.png,backlit,red,red,127,True,red,134.0,True,308
217280.png,backlit,red,off,127,False,red,40.0,True,3560
217280.png,backlit,off,off,127,True,off,24.0,True,640
217304.png,backlit,red,green,127,False,green,110.0,False,1539
217304.png,backlit,red,yellow,127,False,yellow,123.0,False,1400
217304.png,backlit,red,yellow,127,False,yellow,137.0,False,384
217304.png,backlit,red,off,127,False,off,23.0,False,855
217352.png,backlit,red,red,127,True,red,114.0,True,2070
217352.png,backlit,red,yellow,127,False,yellow,125.0,False,1914
217352.png,backlit,red,red,127,True,red,125.0,True,455
217352.png,backlit,off,off,127,True,off,23.0,True,1122
217722.png,backlit,red,yellow,127,False,yellow,110.0,False,2376
217722.png,backlit,green,green,127,True,green,127.0,True,2010
217722.png,backlit,green,green,127,True,green,125.0,True,560
217722.png,backlit,off,off,127,True,yellow,25.0,False,1320
217788.png,backlit,red,red,127,True,red,117.0,True,6710
218536.png,normal,red,green,127,False,green,143.0,False,50
218536.png,normal,off,green,127,False,green,203.0,False,78
218584.png,backlit,red,red,127,True,red,78.0,True,98
218584.png,backlit,red,red,127,True,red,101.0,True,60
218584.png,backlit,green,green,127,True,green,93.0,True,112
218584.png,backlit,off,green,127,False,green,102.0,False,112
218648.png,backlit,red,yellow,127,False,red,82.0,True,98
218648.png,backlit,red,yellow,127,False,yellow,113.0,False,102
218648.png,backlit,red,red,127,True,red,99.0,True,65
218648.png,backlit,green,green,127,True,green,109.0,True,105
218648.png,backlit,green,green,127,True,green,123.0,True,253
218648.png,backlit,off,green,127,False,green,113.0,False,210
218660.png,backlit,red,red,127,True,red,108.0,True,144
218660.png,backlit,red,red,127,True,red,134.0,True,133
218660.png,backlit,red,yellow,127,False,yellow,93.0,False,112
218660.png,backlit,green,green,127,True,green,134.0,True,112
218660.png,backlit,green,green,127,True,green,121.0,True,312
218660.png,backlit,off,green,127,False,green,103.0,False,240
218702.png,backlit,red,red,127,True,red,105.0,True,153
218702.png,backlit,red,red,127,True,red,106.0,True,126
218702.png,backlit,green,green,127,True,green,104.0,True,480
218702.png,backlit,red,red,127,True,red,128.0,True,220
218702.png,backlit,off,green,127,False,green,90.0,False,406
218710.png,backlit,red,yellow,127,False,red,72.0,True,162
218710.png,backlit,red,red,127,True,red,88.0,True,105
218710.png,backlit,red,yellow,127,False,red,82.0,True,119
218710.png,backlit,green,green,127,True,green,77.0,True,32
218710.png,backlit,green,off,127,False,green,47.0,True,21
218710.png,backlit,green,off,127,False,green,55.0,True,15
218710.png,backlit,off,green,127,False,green,92.0,False,528
218710.png,backlit,green,off,127,False,green,36.0,True,648
218908.png,backlit,red,yellow,127,False,yellow,141.0,False,2660
218908.png,backlit,green,green,127,True,green,121.0,True,2356
218908.png,backlit,green,green,127,True,green,126.0,True,2418
218908.png,backlit,green,green,127,True,green,87.0,True,21
218908.png,backlit,green,green,127,True,green,75.0,True,27
218908.png,backlit,green,off,127,False,green,53.0,True,24
218918.png,backlit,green,green,127,True,green,121.0,True,1014
218918.png,backlit,green,off,127,False,green,54.0,True,27
218918.png,backlit,green,green,127,True,green,80.0,True,14
218918.png,backlit,red,red,127,True,red,91.0,True,45
218918.png,backlit,green,off,127,False,off,88.0,False,40
218978.png,backlit,green,green,127,True,green,117.0,True,36
218978.png,backlit,green,green,127,True,green,99.0,True,36
218978.png,backlit,green,green,127,True,green,84.0,True,14
218978.png,backlit,green,off,127,False,green,68.0,True,36
218980.png,backlit,green,green,127,True,green,89.0,True,24
218980.png,backlit,green,green,127,True,green,90.0,True,36
218980.png,backlit,green,off,127,False,green,71.0,True,27
218980.png,backlit,green,off,127,False,green,70.0,True,36
218988.png,normal,green,green,127,True,green,156.0,True,24
218988.png,normal,green,green,127,True,green,185.0,True,36
218988.png,normal,green,green,127,True,green,161.0,True,50
218988.png,normal,green,green,127,True,green,149.0,True,66
218996.png,backlit,red,red,127,True,green,99.0,False,36
218996.png,backlit,green,green,127,True,green,137.0,True,45
218996.png,backlit,green,green,127,True,green,141.0,True,27
218996.png,backlit,green,green,127,True,green,97.0,True,60
218996.png,backlit,green,green,127,True,green,93.0,True,50
219010.png,backlit,red,off,127,False,red,83.0,True,27
219010.png,backlit,green,green,127,True,green,90.0,True,32
219010.png,backlit,green,green,127,True,green,93.0,True,36
219010.png,backlit,green,off,127,False,green,67.0,True,21
219010.png,backlit,green,off,127,False,green,64.0,True,45
219018.png,backlit,green,green,127,True,green,68.0,True,24
219018.png,backlit,red,off,127,False,red,84.0,True,27
219018.png,backlit,green,green,127,True,green,96.0,True,36
219018.png,backlit,green,green,127,True,green,94.0,True,36
219058.png,backlit,red,off,127,False,green,81.0,False,27
219058.png,backlit,green,green,127,True,green,97.0,True,36
219058.png,backlit,green,green,127,True,green,96.0,True,44
219058.png,backlit,green,off,127,False,green,54.0,True,32
219068.png,backlit,red,red,127,True,yellow,90.0,False,27
219068.png,backlit,green,green,127,True,green,110.0,True,36
219068.png,backlit,green,green,127,True,green,100.0,True,65
219080.png,backlit,red,green,127,False,green,91.0,False,30
219080.png,backlit,green,green,127,True,green,115.0,True,40
219080.png,backlit,green,green,127,True,green,104.0,True,40
219080.png,backlit,green,off,127,False,green,86.0,True,40
219188.png,backlit,red,green,127,False,yellow,92.0,False,65
219188.png,backlit,green,green,127,True,green,135.0,True,70
219188.png,backlit,green,green,127,True,green,139.0,True,112
219232.png,backlit,red,red,127,True,yellow,102.0,False,75
219232.png,backlit,green,green,127,True,green,153.0,True,112
219232.png,backlit,green,green,127,True,green,149.0,True,102
219246.png,backlit,red,red,127,True,yellow,91.0,False,90
219246.png,backlit,green,green,127,True,green,132.0,True,96
219246.png,backlit,green,green,127,True,green,145.0,True,119
219264.png,backlit,red,red,127,True,yellow,96.0,False,126
219264.png,backlit,green,green,127,True,green,138.0,True,126
219264.png,backlit,green,green,127,True,green,134.0,True,168
23994.png,low,yellow,yellow,127,True,green,84.0,False,264
25082.png,backlit,red,red,127,True,red,97.0,True,100
25150.png,backlit,red,red,127,True,red,136.0,True,836
25150.png,backlit,red,red,127,True,red,113.0,True,741
25150.png,backlit,red,red,127,True,red,74.0,True,986
27790.png,normal,green,green,127,True,green,124.0,True,1050
27790.png,normal,green,green,127,True,green,119.0,True,512
27790.png,normal,green,green,127,True,green,151.0,True,476
27790.png,normal,green,green,127,True,green,147.0,True,630
27790.png,normal,green,green,127,True,green,123.0,True,615
